name,address,cross_street_reference,ward,contact_name,phone,phone_extension,email,website
The Orchard Montessori School,375 Dovercourt Rd,Dovercourt/College,Davenport,Holly Venable,416-534-7979,,info@theorchardmontessori.com,theorchardmontessori.com
The Rec Room Before & After School Program,255 Royal York Rd,Royal York/Lake Shore Blvd W,Etobicoke-Lakeshore,Won Lee,416-253-8553,,,
The Scott Mission Child Care Centre,1550 O Connor Dr,,Beaches-East York,Caroline Augustine,416-923-4680,510,,
The South Drive Children's Circle,22 South Dr,Mt. Pleasant/Crescent Rd.,University-Rosedale,Maria Samuels,416-963-9242,,,
The Squirrels' Nest Child Care Centre,1305 Ellesmere Rd,Ellesmere/Brimley,Scarborough Centre,Caroline Charlemagne-Luefong,416-438-6383,,,
The Squirrels' Nest Child Care Centre - North Bendale,29 Aveline Cres,McCowan Rd/Ellesmere,Scarborough-Guildwood,Jessica Lourenco,416-824-2423,,,squirrelsnestchildcare.com
The Toronto Cheder,475 Patricia Ave,,Willowdale,Mechelle Maksimov,416-636-2987,254,,torontocheder.org
The Toronto Heschel School,819 Sheppard Ave W,,York Centre,Andrea Zecharia,416-635-1876,303,,torontoheschel.org
The Village Nursery School,2241 Dundas St W,Dundas St W/Bloor St W,Parkdale-High Park,Emily Foster,647-984-4525,,,
The Village Shul And Learning Centre Of Toronto,1072 Eglinton Ave W,Allan Expy./Eglinton W.,Eglinton-Lawrence,Chevy Fordsham,416-785-1107,,,ourvillageshul.com
The Yonge Street Mission / Davis Centre,270 Gerrard St E,Gerrard/Parliament,Toronto Centre,Debbie Ciccone,416-355-3574,,,ysm.on.ca
Thomas Berry Early Learning & Child Care Centre,3495 Lake Shore Blvd W,Lake Shore Blvd W/Thirtieth St,Etobicoke-Lakeshore,Sheri Bagusoski,416-392-5080,,,toronto.ca/children/telccs
Thorncliffe Park Day Care Centre,48 Thorncliffe Park Dr,Overlea/Thorncliffe Park Dr.,Don Valley West,Donna Robertson,416-423-0880,,,
Thorncliffe Park School Age Day Care Centre,80 Thorncliffe Park Dr,Overlea Blvd./Leaside Bridge,Don Valley West,Donna Robertson,416-423-0880,,,
Three R's Early Learning Centre,225 Wellesworth Dr,Renforth Dr./Rathburn Rd.,Etobicoke Centre,Lucy Herrmann,416-621-7890,,,threerselc.wixsite.com/elc1
Three R's Schoolhouse Inc.,1577 Royal York Rd,Royal York Rd./Lawrence W.,Etobicoke Centre,Lucy Herrmann,416-840-7675,,,
Three Valleys Children's Centre,76 Three Valleys Dr,York Mills/Don Mills,Don Valley East,Gerardo Pachas,416-443-9414,,,
Tiago Avenue Community Child Care,145 Tiago Ave,Victoria Park/St. Clair,Beaches-East York,Deborah Warner,416-285-5644,,,
Tic Toc Day Care Centre Inc,1117 Birchmount Rd,Birchmount/Eglinton,Scarborough Centre,Cam Sook Chun,416-755-1789,,,
Tiki's Day Care Centre,20 Tangreen Crt,Yonge/Steeles,Willowdale,Nadejda Schwartz,416-840-0042,,,
Time For Play Nursery School,"125 Evelyn Cres, 315",,Parkdale-High Park,Audrey Borg,416-769-1550,,,timeforplay.ca
Timothy Eaton Infant & Toddler Centre,35 Glendower Circt,,Scarborough-Agincourt,Nancy Wickson,416-490-0434,,,
Tiny Bumblebees Childcare Inc.,"47 Acacia Rd, 47",Mount Pleasant Rd/Millwood Rd,Toronto-St. Paul's,Cecilia Shelton,416-623-8016,,,tinybumblebees.com
Tiny Explorers Academy,"404 Roncesvalles Ave, 402",,Parkdale-High Park,Stephanie Rachel Melo,416-539-8469,,,tinyexplorersacademy.ca
Tiny Explorers Academy Inc,115 Merton St,Yonge/Davisville,Toronto-St. Paul's,Lindsey Benjamin,416-489-7788,,,tinyexplorersacademy.ca
Tiny Hoppers Park Lawn,20 Park Lawn Rd,,Etobicoke-Lakeshore,Meghan Henwood,437-788-8855,,,tinyhoppers.ca
Tiny Treasure Montessori,627 Burnhamthorpe Rd,Burnhamthorpe/Renforth,Etobicoke Centre,Caroline Pahis,416-622-6443,,,tinytreassuremontessori.ca
Tlc - Tender Loving Care (Cross St.),44 Cross St,Weston/Lawrence W.,York South-Weston,Jannette Best,416-248-5401,,,
Tng Central Neighbourhood House,349 Ontario St,Parliament/Dundas,Toronto Centre,Soni Ahmad,416-925-4363,110,,cnh.on.ca
Today's Child Tomorrow's Future Children's Centre,725 Danforth Rd,Danforth/St.Clair,Scarborough Southwest,Sarah K Brown,416-266-9888,,,
Today's Child Tomorrow's Future Children's Centre (290 Blantyre),290 Blantyre Ave,Kingston Rd./Victoria Pk.,Scarborough Southwest,Theresa Sara,416-698-0069,,,
Topcliff Community Child Care,65 Topcliff Ave,Jane/Finch,Humber River-Black Creek,Natalia Frias,416-630-8960,,,
Top Mandarin Day Care Centre,3143 Sheppard Ave E,Sheppard Ave. E/Victoria Park,Scarborough-Agincourt,Amanda Lin,647-998-0928,,,
Top Mandarin Daycare Centre-2,"4271 Sheppard Ave E, 21",,Scarborough North,Amanda Lin,647-998-0928,,,
Torah Tots Childcare,37 Southbourne Ave,Wilson Ave And Bathurst St,York Centre,Chaya Plotkin,416-633-7659,,,
Torah Tots Preschool,3995 Bathurst St,,York Centre,Chayala Zarchi,647-633-7659,,,torahtots.ca
Toronto Cheder,410 Lawrence Ave W,,Eglinton-Lawrence,Mechelle Maksimov,416-636-2987,254,,torontocheder.org
Toronto Hebrew Congregation/Holy Blossom Temple Preschool,1950 Bathurst St,Bathurst/Eglinton,Toronto-St. Paul's,Wendy Steinberg Himmel,416-789-3291,,,holyblossom.org
Toronto Woods Daycare,3072 Bayview Ave,Finch/Bayview,Willowdale,Jin Ok Kim,416-222-7333,,,torontowoodsdaycare.com
Tot World Child Care Centre,25 Yorkwoods Gate,Jane/Finch,Humber River-Black Creek,Loleta Welch,416-638-3003,,,totworldchildcare.com
Trace Manes School (8603758 Canada Inc),822 Millwood Rd,,Don Valley West,Sue Park,416-917-8030,,,tracemanes.ca
Treasured Moments - Bloor,"3107 Bloor St W, Ste. 104",Bloor W./Royal York,Etobicoke-Lakeshore,Lauren Cuttler,416-234-0303,,,treasuredmomentskids.com
Treasured Moments - Burnhamthorpe,316 Burnhamthorpe Rd,,Etobicoke Centre,Victoria Nouri,416-646-7776,,,treasuredmomentskids.com
Tree Of Life Montessori Academy,255 Finch Ave W,,Willowdale,Simone Pammenter,416-640-5100,,,
Treetop Children's Centre,80 Braemar Ave,Eglinton/Avenue Road,Toronto-St. Paul's,Amy O'Neil,416-484-8702,,,
Trinity Bellwoods Community Children's Group/Care (Crawford Street),155 Crawford St,Queen/Shaw,Spadina-Fort York,Julia C.,416-537-9021,,,
Trust Child Care Inc.,29 Birch Ave,Yonge St/Summerhill,Toronto-St. Paul's,Jordan McGoey,416-594-0100,210,,trustchildcare.ca
Tumpane Child Care Learning Centre,48 Tumpane St,Jane/Wilson,York Centre,Sandra Ditta,416-244-2465,,,icsg.ca
Two Short Storeys,"430 Broadview Ave, 100",Broadview/Victor Ave,Toronto-Danforth,Jamie Campbell,416-902-1300,,,
Ukrainian Co-Op Nursery School,516 The Kingsway,,Etobicoke Centre,Aleksandra Demkowicz,416-763-2922,,,svitlychka.ca
Unicorn Day Care Centre,240 Avenue Rd,,University-Rosedale,Eric Mackey,416-929-6841,,,unicorndaycare.com
Unicorn Day Care Centre Toronto,454 Avenue Rd,Avenue Rd./St. Clair,Toronto-St. Paul's,Eric Mackey,416-929-6841,,,
University City Jr YMCA,453 Sentinel Rd,Finch/Sentinel,Humber River-Black Creek,Paula Defend,416-661-2329,,,
University Of Toronto Childcare On Charles,35 Charles St W,Yonge/Charles,Toronto Centre,Venise Bennett,416-415-2604,,,
University Of Toronto Early Learning Centre - Glen Morris,7 Glen Morris St,Spadina/Bloor,University-Rosedale,Karen Venneri,416-978-6725,,,
University Of Toronto Early Learning Centre - O.I.S.E.,252 Bloor St W,Bloor/Bedford,University-Rosedale,Karen Venneri,416-978-6725,,,
University Settlement Day Care Centre,23 Grange Rd,Dundas/University,Spadina-Fort York,Ida Bertolini,416-598-3444,246,,
Uptown Montessori School,39 Carl Hall Rd,Sheppard Ave W/Keele St,York Centre,Pankhuri Agarwal,647-702-3301,,,uptownmontessori.ca
Uptown Yonge Preschool & Child Development Centre,1 Lord Seaton Rd,York Mills/Yonge,Don Valley West,Abir Khreis,647-549-3676,,,uptownyongepreschool.com
Van Horne Day Care,"201 Van Horne Ave, 1st Floor",Don Mills/Van Horne,Don Valley North,Tabassum Sukhera,416-493-3353,,,
Vedic Roots Montessori Academy (Scarborough),"42 Tuxedo Crt, Unit #1",,Scarborough-Guildwood,Sonam Agarwal,416-916-7005,,,vedicroots.ca
"Victoria Education Centre, Montessori & Child Care",1038 Woodbine Ave,Danforth Ave./Woodbine,Beaches-East York,Siobhan Gibson,416-422-5550,,,victoriaeducationeasttoronto.com
Victoria Park Child Care Centre,15 Wallingford Rd,Victoria Pk./Ellesmere,Don Valley East,Derya Guler Turhal,416-445-0287,,,victoriaparkchildcare.ca
Village Green Child Care Centre,275 Village Green Sq,Kennedy Rd/Sheppard Ave. E.,Scarborough-Agincourt,Ewa Kazmierczak,416-901-5180,,,
Vincent Massey Academy - (521909 Ontario Ltd.),68 Daisy Ave,Lake Shore Blvd W/29th Street,Etobicoke-Lakeshore,Katie Cataford,416-252-3304,225,,vincentmassey.com
Vincent Massey Childcare Center (521909 Ontario Ltd.),432 Horner Ave,Browns Line/Horner,Etobicoke-Lakeshore,Phalyna Suong,416-252-3305,226,,vincentmassey.com
Viva Kids Academy,3420 Yonge St,Yonge St/York Mills Road,Eglinton-Lawrence,Cathy Piedra-McKenzie,416-483-7070,,,vivakidsacademy.ca
Vradenburg Community Child Care Centre,50 Vradenberg Dr,,Scarborough-Agincourt,Maya Magan,416-497-7016,,,
Waldorf Academy Childcare Centre,263 Spadina Rd,,Toronto-St. Paul's,Lucia Amaral,416-962-6447,,,
Waldorf Academy Childcare Centre-Madison,250 Madison Ave,,Toronto-St. Paul's,Lucia Amaral,416-962-6447,,,waldorfacademy.org
Waterclub Jr YMCA,208 Queens Quay W,York/Queen's Quay,Spadina-Fort York,Monica Warner,416-915-7344,,,
Waterfront Montessori Childrens Centre,18 Wyandot Ave,Ward's Ferry/Algonquin Isl.,Spadina-Fort York,Kathleen Roerick,416-203-1017,,,waterfrontmontessori.ca
Waverley Road Montessori School,"646 Kingston Rd, 104-105",,Beaches-East York,Maricela Pliego,647-351-1600,,,
Wedgewood School Age YMCA,5 Swan Ave,Burnhamthorpe/Kipling Ave.,Etobicoke Centre,Irene Grobelny,647-281-4410,,,
Wee Leprechauns Child Care Centre Ltd,235 The Donway E,Lawrence/Don Mills,Don Valley East,Georgina Wallace,416-385-1726,,,weeleprechaunschildcarecentre.com
Wellesley Early Learning Centre - Earlscourt Creche CDI,"495 Sherbourne St, 2nd Floor",Wellesley/Sherbourne,Toronto Centre,Carla Vieira,416-928-9900,,,childdevelop.ca
Wellesworth School Age YMCA,225 Wellesworth Dr,Wellesworth/Renforth,Etobicoke Centre,Irene Grobelny,647-281-4410,,,
West End Jr YMCA,931 College St,College/Dovercourt,Davenport,Maxine Chodorowicz,416-536-1166,440,,ymcatoronto.org
West End Parents Day Care Centre,375 Dovercourt Rd,Dovercourt/College,Davenport,Meg Lewis-Strauch,416-534-6761,,,
West End Parents Day Care Satellite,380 Ossington Ave,College St./Ossington Ave.,Davenport,Meg Lewis-Strauch,416-534-6761,,,
West Hill Centre For Early Learning (Centres For Early Learning Inc.),4010 Lawrence Ave E,Lawrence/Kingston Rd.,Scarborough-Guildwood,Kanika Dunn,416-283-4294,221,,cfel.ca
"Westmount Junior School, Extended Day Program",95 Chapman Rd,,Etobicoke Centre,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Weston Memorial B & A School Program,200 John St,Jane/Lawrence W.,York South-Weston,Sabrina Sowkey,416-241-5534,,,lefca.org
Westown Early Learning And Child Care Centre,3101 Weston Rd,Weston Rd./Sheppard,Humber River-Black Creek,Diane French,416-392-2440,,,toronto.ca/children/telccs
West Prep Children's Centre Of Toronto,70 Ridge Hill Dr,Bathurst/Eglinton,Eglinton-Lawrence,Rose Bozza,416-783-4302,,,
West Rouge Kindergarten Extended Care Program,401 Friendship Ave,East Ave/Kirkdene Drive,Scarborough-Rouge Park,Sanaa Maher,416-281-0262,230,,
Westside Montessori School,95 Bellevue Ave,,University-Rosedale,Liz Girvan,647-430-5321,,,westsideschool.ca
Westside Montessori School,57 Sylvan Ave,,Davenport,Liz Bovey,647-400-6521,,,westsideschool.ca
Wexford Community Childcare Centre,1 Wayne Ave,Warden/Lawrence,Scarborough Centre,Denise Hosannah,416-759-1965,,,
Wexford Extended Day And School Age Program,1050 Pharmacy Ave,Victoria Park/Lawrence Ave E,Scarborough Centre,Mary Gatti,647-669-6201,,,
Weybourne School,54 Lawrence Ave E,Yonge St/Lawrence Ave E,Don Valley West,Sue Park,416-917-8030,,,weybourne.ca
Whitney Child Centre,119 Rosedale Heights Dr,Mount Pleasant/St. Clair,University-Rosedale,Nafeeza Ali,416-481-0221,,,
William Burgess Jr YMCA,100 Torrens Ave,Pape/O'Connor,Toronto-Danforth,Joanne Tsoulamanis,416-423-5518,,,ymcatoronto.org
William G. Davis Kindergarten Extended Care Program,128 East Ave,East Ave/Lawrence Ave,Scarborough-Rouge Park,Sanaa Maher,416-281-0262,230,,
William G. Miller School Age YMCA,60 Bennett Rd,Lawrence/Bennett,Scarborough-Rouge Park,Marjorie Umali,416-724-1925,,,
Williamson Road Day Care Centre,24 Williamson Rd,Queen/Lee,Beaches-East York,Anna Zizzari,416-691-8861,,,
Willowbrae Academy Bayview Village,432 Sheppard Ave E,Sheppard Ave E/Bayview Ave,Willowdale,Stephanie Da Silva,647-676-6290,,,willowbraechildcarebayview.com
Willowbrae Academy Etobicoke,4975 Dundas St W,Dundas St W/Cabot Ct,Etobicoke-Lakeshore,Laurie Newman,647-508-0444,,,willowbraeacademy.com
"Willow Park Junior Public School, Extended Day Program",45 Windover Dr,Lawrence Ave E/Scarb Golf Rd,Scarborough-Guildwood,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/child-care/extended-day-programs
Willowridge Early Learning & Child Care Centre,30 Earldown Dr,Martingrove/Eglinton Ave. W.,Etobicoke North,Ann Atkinson,416-392-5086,,,toronto.ca/children/telccs
Willow World,288 Cummer Ave,Bayview Ave/Cummer Ave,Willowdale,Abigail Ferreira,647-562-2615,,,
Wilmington Best Child Care Centre,330 Wilmington Ave,Finch/Wilmington,York Centre,Teresa Tomassi,416-633-2665,,,
Wilmington Best Schoolage Satellite Centre,"285 Wilmington Ave, 104",Finch/Wilmington,York Centre,Teresa Tomassi,416-633-2665,,,
Winchester Site Day Care (Central Neighbourhood House),15 Prospect St,Parliament/Wellesley,Toronto Centre,Melyssa Kaarls,416-389-1972,,,cnh.on.ca
Windermere Early Learning Centre,103 The Queensway,The Queensway/Windermere Ave,Parkdale-High Park,Jennifer Ageday,416-763-2734,6502,,
Windermere Kids Inc.,356 Windermere Ave,Jane/Bloor,Parkdale-High Park,Jennifer Ciccarelli,416-761-9772,,,windermerekids.ca
Withrow Child Care Centre,25 Bain Ave,Broadview/Danforth,Toronto-Danforth,Mary To,416-463-1457,,,
Wonderkids Daycare,475 Rathburn Rd,Rathburn Rd/427,Etobicoke Centre,Olena Ternova,647-971-7773,,,
Woodgreen Community Services (Enderby Child Care),118 Enderby Rd,Main/Gerrard,Beaches-East York,Jessica Wong,416-645-6000,1158,,woodgreen.org
Woodgreen Community Services (Leslieville Child Care),254 Leslie St,Dundas/Leslie,Toronto-Danforth,Jessica Wong,416-645-6000,1158,,woodgreen.org
Woodgreen Community Services (Morse Child Care Centre),180 Carlaw Ave,Queen/Carlaw,Toronto-Danforth,Jessica Wong,416-645-6000,1158,,woodgreen.org
Woodgreen Community Services (Riverdale Child Care),1094 Gerrard St E,Gerrard/Leslie,Toronto-Danforth,Jessica Wong,416-645-6000,1158,,woodgreen.org
Woodgreen Community Services (The)(Debbie Yeung Child Care Centre),249 Cosburn Ave,Donlands/Cosburn,Toronto-Danforth,Jessica Wong,416-645-6000,1158,,woodgreen.org
Woodgreen Community Services (Woodfield Child Care Centre),70 Woodfield Rd,Coxwell/Queen,Toronto-Danforth,Jessica Wong,416-645-6000,1158,,woodgreen.org
Woodland Nursery School (Warden Woods Community Centre),1 Firvalley Crt,Warden/St. Clair,Scarborough Southwest,Rasha Alshareef,416-694-1138,163,,wardenwoods.com
Wychwood Tigers Daycare Centre,145 Ava Rd,Eglinton Ave W/Bathurst St,Toronto-St. Paul's,Emma Carvalho,416-532-1841,,,wychwoodtigers.com
Yeshivat Yesodei Hatora,77 Glen Rush Blvd,,Eglinton-Lawrence,Binyomin Septon,416-787-1101,231,,yesodeihatorah.ca
Yes I Can Nursery School,25 Old York Mills Rd,,Don Valley West,Jessica Similien,416-486-4911,,,yesicannurseryschool.com
YMCA Child Development Centre (YMCA),15 Breadalbane St,Yonge/Wellesley,Toronto Centre,Christina Pettos,416-513-1164,1,,
YMCA Of Greater Toronto - St Augustine,98 Shoreham Dr,,Humber River-Black Creek,Kellie Briggs,647-945-7310,,,
Yonge-Churchill Child Care Centre,5350 Yonge St,Yonge/Sheppard,Willowdale,Sandra Santedicola,416-221-4747,,,
Yonge Hearts Child Care Centre,5176 Yonge St,Yonge/Finch,Willowdale,June Karim,416-730-8898,,,
York Heights Child Care Centre,15 York Garden Way,Dufferin/Hwy 401,Temp. Pilot Data,Debbie Nystrom,416-367-1758,,,
York Humber Child Care,100 Emmett Ave,Eglinton W./Jane,York South-Weston,Sabrina Sowkey,416-241-5534,,,lefca.org
York Mills Child Care Centre,1200 York Mills Rd,York Mills/Dvp,Don Valley East,Friba Hakim,416-449-9453,,,
Yorktown Montessori School,349 Kenneth Ave,Yonge/Finch,Willowdale,Grace Park,416-226-6932,,,
York University Co-Operative Day Care Centre,"90 Atkinson Rd, Rm 128",Finch/Keele,Humber River-Black Creek,Ayesha Ysraël,416-736-2100,33273,,yorku.ca/daycare
Yorkview Kids Care - North York,130 Yorkview Dr,Bathurst/Finch,Willowdale,Ruth Barber,416-221-7656,,,
Young Talents Academy,"2255 Sheppard Ave E, 100",,Don Valley North,Sayonara Siqueira,905-212-2215,,,youngtalentsacademy.ca
YWCA Bergamot Early Learning,66 Bergamot Ave,Islington Ave./Rexdale Blvd.,Etobicoke North,Karen Hipson,416-748-8179,310,,ywcatoronto.org
